siruta,populatie
152172,5734
152234,3845
152500,3112
153062,2963
152270,1048
152314,1936
152564,3353
152902,4086
153295,2942
153339,3703
153384,1604
153400,2501
154709,2203
155127,2551
179711,2769
179739,2310
14673,2466
13392,13682
13668,10058
13757,10037
39220,2645
13935,3667
14450,5006
159213,5458
14940,5867
15233,3886
15554,1147
15652,2337
16613,2393
100709,764
16739,2210
16757,5816
130124,2162
159482,1321
16944,2849
17496,5561
17575,2193
130231,2443
17726,2337
17824,2891
18331,3061
18411,2921
18475,2596
18581,1727
18741,4546
18938,3237
19007,3409
19114,2400
19212,1558
159507,1918
68976,4313
19560,3060
100736,4194
19793,3943
20048,1240
70094,3657
168309,1785
65752,5708
66580,3139
67675,3030
67167,3274
67327,6623
68128,4373
68887,3425
69170,2373
69330,4004
73629,3513
69900,243765
70174,4424
154282,2590
131256,31770
70414,16215
70566,1944
71260,3577
71055,4337
93717,2163
71126,3609
73772,1803
65379,6192
71340,1564
71723,1890
71910,2272
72276,1878
72409,1645
72677,3030
73102,3758
73246,1696
74732,1564
74073,2023
73371,2409
74242,1765
74875,1803
74931,1337
74956,1236
80506,1688
111916,1265
78604,3897
78828,1659
79237,2430
79497,2153
80043,2270
125347,63524
66223,2326
153473,3059
31878,2977
79932,3307
125374,2477
81816,2086
82831,2816
125418,16840
82243,2552
112771,2257
82555,4039
32027,9688
65841,18023
82314,2320
125677,1087
154308,1593
112879,3611
12055,3661
153936,2495
82680,5222
172457,3773
125757,1782
125846,2478
125873,3243
154665,3095
158449,3065
125999,3080
126022,2662
126166,2283
126326,2408
124117,8141
127901,1230
126433,4111
170612,2314
125588,2238
126503,2131
126674,1160
126772,1782
174520,925
127322,1832
126102,1793
127411,1597
127625,2473
17209,4283
127858,1259
113607,928
128105,5932
128221,3035
128301,1976
128374,5534
128436,1459
128659,2519
158804,1789
74171,1082
128711,10991
128962,2033
129139,3318
129246,2884
129317,1072
50923,4641
129585,2963
129656,3524
129816,3004
130286,1669
130295,1488
130366,2005
151996,1974
152528,3091
152582,2309
154228,2485
153696,3100
154068,1755
154585,3638
167981,16681
168452,4613
169547,1887
169681,3906
170097,1766
170444,1490
170952,2949
171101,1731
171209,1426
171879,3131
173793,3167
173855,2623
174085,2554
174290,2444
174502,1936
174511,1441
179926,2224
36532,1748
35839,4237
35884,3606
35946,9523
36006,22600
36060,6704
36131,6149
126077,2087
36300,4541
36373,1910
36426,2854
131274,4654
36453,4181
36649,1729
36676,2175
36756,6460
12091,10725
36809,4522
37057,3055
37100,2736
37173,2481
37217,3638
37397,3216
37459,3428
167259,1518
37547,4478
37618,2121
37672,3371
37770,6002
37850,2124
159259,2521
37958,3224
38063,6807
129745,3361
38161,2283
38241,2206
38321,2677
38376,1854
38456,2610
38492,2734
38633,3266
38731,1899
38811,3249
151095,13053
39612,1916
38848,1905
39983,1975
38893,2637
159366,1757
38982,4779
39051,3020
39122,3851
39168,5092
12126,2340
39328,5136
39658,1922
39792,3079
39417,6605
39532,2737
39836,3962
159400,2020
39694,3389
39738,4468
39967,1840
106318,114925
106461,6896
106559,35347
106620,2194
106648,2590
106684,14971
154013,3584
12144,3671
106979,14448
137764,4845
107270,4133
107314,4374
107350,3706
107403,3169
107662,3513
107715,2401
150221,2673
107975,2295
108151,3059
108240,2532
150294,5029
108400,3753
108455,2519
136919,3612
129898,2940
154139,2138
108473,9796
108552,3043
137069,6340
108598,4684
108632,3756
108669,3088
108696,5537
137229,4686
108945,2873
108963,8770
137274,2304
109005,3598
109504,4870
151585,1616
136483,94948
136599,9881
150702,1986
136802,2575
136848,5889
151512,3544
137407,5560
137675,3760
137746,3299
137960,5373
138039,6639
139170,5307
129111,2548
138084,6526
138164,3424
138351,3754
138280,4817
139009,3679
139143,3027
139214,3587
146931,4958
112600,1691
139287,2029
129987,2460
139330,3358
139394,3405
146325,4179
146655,7721
146708,2143
146799,3938
146860,6609
147241,3273
147580,2541
147633,6812
147937,5067
148667,5572
148694,4315
148872,2535
173597,1968
148916,3010
148970,4335
149101,1979
149183,2036
150418,2659
149290,8376
149833,4414
149502,1837
151120,4858
149539,4894
150043,3511
150196,3544
151558,4239
150524,5180
150980,4057
151077,5853
179864,1503
151246,2804
151344,6018
151442,3105
151460,2793
151479,5029
180028,2516
180091,3013
34235,5496
100317,2087
43732,2034
32394,70493
32483,10403
32544,9077
43787,1711
32599,9413
32633,3740
33122,1842
33202,4102
33248,7524
33337,2239
33514,2539
77595,2586
33541,4074
33603,3058
33621,6987
33729,1818
33989,5011
34155,2367
34262,3052
36499,3482
129184,3014
34280,4216
34333,5733
34360,1658
34618,3251
34770,2219
34903,3507
77601,1257
173748,3123
129460,4430
129567,3162
35054,5649
35090,5574
129629,2236
35152,3102
35429,3402
129718,1413
36569,3985
36907,4409
38679,2787
37280,9456
174218,1548
37324,5480
37734,3349
37912,4238
38580,3097
39266,3272
39391,5065
39872,7322
105605,4793
39975,2912
100326,2102
95159,11126
95239,4237
95293,10309
95060,263410
146502,16105
95088,5337
95355,10055
95391,31568
95499,5217
179784,2385
9262,147922
95612,2865
9280,2950
95667,4071
95747,3261
95792,4842
95872,9888
95943,4030
96003,4006
96058,2965
96147,3850
127938,2292
96478,7037
96637,3853
96664,1220
175224,1268
96815,9551
97063,3734
96940,4454
99165,5087
97009,5046
97090,3503
99209,3700
97321,3062
97438,5365
97465,2626
97517,2891
128613,2920
97606,5137
97679,6217
97722,5574
97811,3705
97919,11100
98051,4346
98168,3576
50564,1576
98257,3148
98300,3138
98337,3597
98373,8735
98435,3906
98505,7103
98649,3384
98738,1869
136269,1612
98774,5767
98998,7190
128864,2021
99058,4046
99101,4030
99370,5312
99478,5319
106363,2796
99600,3680
99879,3882
43867,2512
99922,2000
99968,5360
107430,1116
100004,4102
100086,4510
43929,1207
100148,3867
100273,3280
107485,2690
44355,2312
100344,1398
100353,4590
148382,2383
31057,1443
106746,27108
107154,2278
107582,3686
108017,3191
108348,9196
108892,4856
121055,18232
109096,5209
108874,3404
130311,1506
121108,3852
121652,6055
121938,3812
122551,2868
9333,2831
122908,5129
124750,2127
123371,3514
123424,5104
147054,3850
123521,8268
123790,4344
123914,7761
124661,3462
124803,3853
125114,1807
124849,3270
125178,2261
125016,7594
125132,1382
137103,2424
137130,2865
147465,2302
138869,2543
139704,53308
139740,7130
151530,1507
139811,10137
140084,1713
140146,3706
151549,2234
140324,3180
140501,2402
140583,1198
151567,1784
140672,2803
140770,1220
140823,2619
140958,1643
141134,2409
120824,6092
141232,1984
141376,3529
142079,3100
141580,2139
141786,1795
179720,1414
159339,2412
10104,2699
141884,1049
142122,2101
17254,5705
142177,2619
142373,1189
142426,2696
142499,1045
142550,2879
143067,847
142710,2589
10346,1001
142774,3415
142854,1700
146539,24619
67737,7495
146263,86282
146281,5503
146432,9203
146584,12729
146744,13659
146904,6179
179613,2357
147072,4525
147134,6486
147205,1500
147526,3672
147713,1701
147358,5388
147786,6481
147884,1788
148006,9792
148097,3453
148328,2299
148131,2817
10765,1352
148202,2810
11352,2277
148453,4790
148514,4356
10051,1793
148612,5702
44989,1567
149655,2965
148729,3207
148765,3547
149049,3183
149227,9398
149316,6147
149370,3198
149414,4229
149682,2149
130375,1739
150070,3524
112664,3072
149753,4820
149780,2749
149968,6553
149851,2036
149931,2879
150310,3262
151790,42129
150114,5006
150178,2267
151816,3442
150258,4677
31208,1248
150356,5845
150445,3910
150588,7404
150766,3922
150891,3727
150935,5307
151576,2827
151157,3309
42753,3411
151451,1373
151488,2178
45334,1108
151497,1447
31333,3763
179622,2075
1017,58681
4142,1850
1071,3018
1213,22495
1348,20026
1794,12377
3761,929
3805,1445
2915,3433
2988,1838
3397,879
3841,266
4188,1917
4240,2725
4302,1530
125141,1337
4366,4396
4703,1103
4927,6094
4981,562
42682,168389
5103,4507
5167,1173
5210,2731
5309,2359
5577,2848
5700,2986
5755,1906
6164,734
5826,703
6048,1588
6119,608
6397,531
6468,1015
6547,1165
6592,1089
6627,547
6930,1510
6976,1415
7384,2669
137728,1836
7348,2342
7767,2379
7865,3940
42708,5070
8096,6421
8158,4574
8354,2864
8826,4628
9026,2187
32811,3295
32660,3050
32955,1504
34173,3304
35269,3180
55357,20677
138663,3456
55384,20203
55062,2648
154344,1778
112744,1699
55106,1140
9397,10076
54975,309136
55259,43472
55473,6938
55160,3524
55277,5270
55311,1731
55598,1048
55623,1190
55687,10072
55776,1544
56265,1568
55838,10065
67906,5437
55918,1891
109265,7078
154978,1493
56096,1534
56210,4690
56354,2282
56425,1976
152332,3746
56522,2587
56568,3250
56666,4306
9459,7577
56844,3410
57314,2065
56988,2926
57083,2292
179604,947
57225,1522
58311,4110
152412,2128
57449,1437
33845,1076
68048,5353
53345,1099
68280,3927
